City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
616,Bukowno,50.2647,19.4596,overcast clouds,63.0,39,100,5.01,PL,2021-04-20 13:17:17
617,Rio Branco,-9.9747,-67.81,broken clouds,75.2,100,75,4.61,BR,2021-04-20 13:17:17
618,Zalaegerszeg,46.84,16.8439,broken clouds,50.0,81,75,4.61,HU,2021-04-20 13:17:17
619,Changde,29.0464,111.6783,overcast clouds,62.01,25,100,4.0,CN,2021-04-20 13:17:18
620,Nemuro,43.3236,145.575,clear sky,38.35,54,1,16.2,JP,2021-04-20 13:17:18
621,Basco,20.4487,121.9702,overcast clouds,76.03,80,100,31.38,PH,2021-04-20 13:17:18
622,Zeerust,-25.5369,26.0751,clear sky,77.0,29,0,8.05,ZA,2021-04-20 13:17:19
623,Nantucket,41.2835,-70.0995,clear sky,55.4,71,1,10.36,US,2021-04-20 13:16:46
624,Peniche,39.3558,-9.3811,overcast clouds,64.0,76,94,10.0,PT,2021-04-20 13:17:19
625,Livingstone,-17.8419,25.8543,clear sky,80.6,41,0,10.36,ZM,2021-04-20 13:17:19
